139000,QD,1980,11,01,   0.6700
139000,QD,1980,11,02,   0.6700
139000,QD,1980,11,03,   0.6700
139000,QD,1980,11,04,   0.6700
139000,QD,1980,11,05,   0.6700
139000,QD,1980,11,06,   0.6700
139000,QD,1980,11,07,   0.6700
139000,QD,1980,11,08,   0.6700
139000,QD,1980,11,09,   0.6700
139000,QD,1980,11,10,   0.6700
139000,QD,1980,11,11,   0.5800
139000,QD,1980,11,12,   0.5800
139000,QD,1980,11,13,   0.5800
139000,QD,1980,11,14,   0.5800
139000,QD,1980,11,15,   0.5800
139000,QD,1980,11,16,   3.2700
139000,QD,1980,11,17,   3.0000